,[Paul McCartney],[Instrumental],title,[Verse 1: John Lennon],[Verse 2: John Lennon],[Bridge: Paul McCartney],[Verse 1: John Lennon]2,[Verse 1],[Chorus],[Verse 2],[Chorus]2,[Bridge],[Verse 2]2,[Verse 3],[Chorus]3,[x2],[Intro],[Pre-Chorus],[Refrain: John Lennon],[Bridge]2,[Chorus 1],[Instrumental Break],[Outro],[Verse],[Chorus 2],[Chorus 3],[Verse 4],[Bridge 1],[Bridge 2],[Verse 1: Paul McCartney and John Lennon],[Interlude: Paul McCartney],"[Bridge 1: John Lennon, <br/>& McCartney<br/>, <br/>& McCartney and George Harrison<br/>]",[Bridge 2: Paul McCartney],[Instrumental Verse],[Bridge 2: Paul McCartney]2,[Guitar Solo],[Instrumental Break 0:23-0:44],[Transition],[Engineer],[Verse 1]2,[Interlude],[Verse 1: Paul McCartney & John Lennon],[Chorus: Paul McCartney & John Lennon],[Verse 2: Paul McCartney & John Lennon],[Chorus: Paul McCartney & John Lennon]2,[Guitar Solo: John Lennon],[Spoken],[Chorus: John Lennon & Paul McCartney],[Chorus: John Lennon & Paul McCartney]2,[Intro: John Lennon & Paul McCartney],[Verse 1: John Lennon & Paul McCartney],[Verse 2: John Lennon & Paul McCartney],[Bridge: John Lennon & Paul McCartney],[Verse 1: John Lennon & Paul McCartney]2,[Intro: Paul McCartney & <br/>John Lennon<br/>],[Verse 1: Paul McCartney],[Chorus: Paul McCartney],[​​Interlude: Paul McCartney],"[Chorus: John Lennon, Paul McCartney, George Harrison]","[Chorus: John Lennon, Paul McCartney, George Harrison]2","[Bridge: John Lennon, <br/>Paul McCartney & George Harrison<br/>]",[Refrain],[Refrain]2,[Instrumental bridge],[Verse 2]3,[Bridge: John Lennon & Paul McCartney & George Harrison],[Chorus: John Lennon & Paul McCartney]3,[Guitar solo],[French Horn Solo],[Chorus: John Lennon],[Chorus: John Lennon]2,[Bridge: George Harrison],"[Intro: Paul McCartney, John Lennon and George Harrison]",[Verse 1: Paul McCartney (& John Lennon and George Harrison)],[Chorus: Paul McCartney (& John Lennon and George Harrison)],[Verse 2: Paul McCartney],[Chorus: Paul McCartney (& John Lennon and George Harrison)]2,"[Intro: Paul McCartney, John Lennon, George Harrison]",[Verse 1: John Lennon <br/>with Paul McCartney<br/>],[Verse 3: John Lennon with Paul McCartney],[Scatting],"[Verse 3: John Lennon, Paul McCartney & <br/>Ringo Starr<br/>]"
0,"<br/>One, two, three, four!<br/>",,12-Bar Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,A Hard Day’s Night,<br/>It's been a hard day's night<br/>And I've been working like a dog<br/>It's been a hard day's night<br/>I should be sleeping like a log<br/>But when I get home to you<br/>I find the things that you do<br/>Will make me feel alright<br/>,<br/>You know I work all day<br/>To get you money to buy you things<br/>And it's worth it just to hear you say<br/>You're gonna give me everything<br/>So why on earth should I moan<br/>'Cause when I get you alone<br/>You know I feel okay<br/>,"<br/>When I'm home, everything seems to be right<br/>When I'm home feeling you holding me tight<br/>Tight, yeah!<br/>",<br/>It's been a hard day's night<br/>And I've been working like a dog<br/>It's been a hard day's night<br/>I should be sleeping like a log<br/>But when I get home to you<br/>I find the things that you do<br/>Will make me feel alright<br/>Ah!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,Across the Universe,,,,,"<br/>Words are flowing out like endless rain into a paper cup<br/>They slither wildly as they slip away across the universe<br/>Pools of sorrow, waves of joy are drifting through my opened mind<br/>Possessing and caressing me<br/>","<br/>Jai Guru Deva, Om<br/>Nothing's gonna change my world<br/>Nothing's gonna change my world<br/>Nothing's gonna change my world<br/>Nothing's gonna change my world<br/>",<br/>Images of broken light which dance before me like a million eyes<br/>They call me on and on across the universe<br/>Thoughts meander like a restless wind inside a letter box<br/>They tumble blindly as they make their way across the universe<br/>,"<br/>Jai Guru Deva, Om<br/>Nothing's gonna change my world<br/>Nothing's gonna change my world<br/>Nothing's gonna change my world<br/>Nothing's gonna change my world",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,All I’ve Got to Do,,,,,"<br/>Whenever I want you around, yeah<br/>All I got to do<br/>Is call you on the phone<br/>And you'll come running home<br/>Yeah, that's all I got to do<br/>",,"<br/>And when I, I want to kiss you, yeah<br/>All I got to do<br/>Is whisper in your ear<br/>The words you long to hear<br/>And I'll be kissin' you<br/>",,"<br/>And the same goes for me<br/>Whenever you want me at all<br/>I'll be here, yes, I will<br/>Whenever you call<br/>You just got to call on me, yeah<br/>You just got to call on me<br/>","<br/>And when I, I want to kiss you, yeah<br/>All I got to do<br/>Is call you on the phone<br/>And you'll come runnin' home<br/>Yeah, that's all I got to do",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,All Things Must Pass (Demo),,,,,<br/>Sunrise doesn't last all morning<br/>A cloudburst doesn't last all day<br/>Seems my love is up<br/>And has left you with no warning<br/>But it's not always going to be this grey<br/>,<br/>All things must pass<br/>All things must pass away<br/>,<br/>Sunset doesn't last all evening<br/>A mind can blow those clouds away<br/>After all this my love is up<br/>And must be leaving<br/>It has not always been this grey<br/>,<br/>All things must pass<br/>None of life's strings can last<br/>So I must be on my way<br/>And face another day<br/>,,,<br/>Now the darkness only stays at nighttime<br/>In the morning it will fade away<br/>Daylight is good<br/>At arriving at the right time<br/>It's not always going to be this grey<br/>, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,All Together Now,,,,,"<br/>A, B, C, D<br/>Can I bring my friend to tea?<br/>E, F, G, H, I, J, I love you<br/>",<br/>(All together now) All together now<br/>(All together now) All together now<br/>(All together now) All together now<br/>(All together now) All together now<br/>,"<br/>Black, white, green, red<br/>Can I take my friend to bed?<br/>Pink, brown, yellow, orange and blue, I love you",,,,,,,"<br/>One, two, three, four<br/>Can I have a little more?<br/>Five, six, seven, eight, nine, ten, I love you<br/>",<br/>(Bom bom bom bompa bom) Sail the ship<br/>(Bompa bom) Chop the tree<br/>(Bompa bom) Skip the rope<br/>(Bompa bom) Look at me<br/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,And I Love Her,,,,,<br/>I give her all my love<br/>That's all I do<br/>And if you saw my love<br/>You'd love her too<br/>I love her<br/>,,<br/>She gives me everything<br/>And tenderly<br/>The kiss my lover brings<br/>She brings to me<br/>And I love her<br/>,,<br/>A love like ours<br/>Could never die<br/>As long as I<br/>Have you near me<br/>,,<br/>Bright are the stars that shine<br/>Dark is the sky<br/>I know this love of mine<br/>Will never die<br/>And I love her,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,Another Girl,,,,,"<br/>You're making me say that I've got nobody but you<br/>But as from today, well, I've got somebody that's new<br/>I ain't no fool and I don't take what I don't want<br/>",<br/>For I have got another girl<br/>Another girl<br/>,"<br/>She's sweeter than all the girls and I met quite a few<br/>Nobody in all the world can do what she can do<br/>And so I'm telling you, ""This time you'd better stop""<br/>",<br/>For I have got another girl<br/>Another girl<br/>,<br/>Who will love me till the end<br/>Through thick and thin<br/>She will always be my friend,,,<br/>For I have got another girl<br/>Another girl<br/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,Baby It’s You,,,,,<br/>It's not the way you smile that touched my heart<br/>(<br/>Sha la la la la<br/>)<br/>It's not the way you kiss that tears me apart<br/>,"<br/>'Cause, baby, it's you (<br/>Sha la la la la la la<br/>)<br/>Baby, it's you (<br/>Sha la la la la la la<br/>)<br/>(<br/>Sha la la la la<br/>)<br/>","<br/>You should hear what they say about you, ""cheat,"" ""cheat""<br/>(<br/>Sha la la la la<br/>)<br/>They say, they say you never never never ever been true<br/>(<br/>Cheat, cheat<br/>)",,,,,,,<br/>Sha la la la la la la<br/>Sha la la la la la la<br/>Sha la la la la la la<br/>Sha la la la la<br/>,"<br/>Uh, oh<br/>Many, many, many nights go by<br/>I sit alone at home and I cry over you<br/>What can I do?<br/>Can't help myself<br/>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,A Day in the Life,"<br/>I read the news today—oh, boy<br/>About a lucky man who made the grade<br/>And though the news was rather sad<br/>Well, I just had to laugh<br/>I saw the photograph<br/>He blew his mind out in a car<br/>He didn't notice that the lights had changed<br/>A crowd of people stood and stared<br/>They'd seen his face before<br/>Nobody was really sure if he was from the House of Lords<br/>","<br/>I saw a film today, oh boy<br/>The English Army had just won the war<br/>A crowd of people turned away<br/>But I just had to look<br/>Having read the book<br/>","<br/>*alarm clock rings*<br/>Woke up, fell out of bed<br/>Dragged a comb across my head<br/>Found my way downstairs and drank a cup<br/>And looking up I noticed I was late<br/>Found my coat and grabbed my hat<br/>Made the bus in seconds flat<br/>Found my way upstairs and had a smoke<br/>And somebody spoke and I went into a dream",,,,,,,,,,,,,<br/>I'd love to turn you on<br/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
